Ticker,Name,Sector,Price,Intrinsic_Value,Margin_Of_Safety_%,Quality_Score,Valuation_Score,Moat_Score,Risk_Score,CapAlloc_Score,Growth_Score,Smart_Money_Score,Debt_to_Equity,Inst_Holdings_%,Value_Trap_Risk,Momentum_Status,Latest_Catalyst,Latest_News_Link,Final_V15_Score,ocf_array,fcf_array
NESTLEIND.NS,NESTLE INDIA LIMITED,Consumer Defensive,1422.5,0.0,-99.9,50,0,90,58,90,100,50,0.09,17.7,40,Golden Cross (Bullish),"Nestle India profit jumps 26% on strong demand, shares rise",https://finance.yahoo.com/news/nestle-india-posts-quarterly-profit-085942919.html,49.4,"[2236.0, 2737.43, 2934.53, 0.0]","[1501.16, 2187.51, 925.89, 0.0]"
TATACONSUM.NS,TATA CONSUMER PRODUCT LTD,Consumer Defensive,1108.6,561.87,-97.3,50,0,50,50,100,80,80,0.12,34.9,10,Bearish Short-Term,Tata Starbucks to add up to 100 stores annually in India – report,https://finance.yahoo.com/markets/stocks/articles/tata-starbucks-add-100-stores-095317917.html,46.0,"[1461.29, 1936.68, 2056.65, 2421.85]","[1149.54, 1601.99, 1597.11, 1973.28]"
ONGC.NS,OIL AND NATURAL GAS CORP.,Energy,252.6,581.31,56.5,60,100,50,40,100,20,50,0.43,22.8,0,Bearish Short-Term,How The Investment Story For Oil and Natural Gas (NSEI:ONGC) Is Quietly Shifting,https://finance.yahoo.com/sectors/energy/articles/investment-story-oil-natural-gas-060924690.html,45.2,"[86062.1, 98846.6, 90855.6, 112719.34]","[35131.85, 46727.79, 35181.33, 58728.86]"
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1794.2,656.65,-99.9,35,0,70,50,100,20,80,0.06,31.4,0,Golden Cross (Bullish),India's top drugmaker Sun Pharma beats profit view on specialty drugs demand,https://www.yahoo.com/news/articles/indias-top-drugmaker-sun-pharma-092836996.html,44.5,"[4959.33, 12134.98, 14072.09, 12419.18]","[2873.75, 9933.17, 11943.51, 8809.81]"
TATASTEEL.NS,TATA STEEL LIMITED,Basic Materials,197.96,256.85,22.9,10,80,50,50,100,50,80,0.89,34.8,0,Bearish Short-Term,Tata Steel Ltd (FRA:HWHG) Q4 2026 Earnings Call Highlights: Strong EBITDA Growth and Strategic ...,https://finance.yahoo.com/markets/stocks/articles/tata-steel-ltd-fra-hwhg-010423203.html,42.0,"[21683.08, 20300.67, 23137.58, 35064.46]","[7540.59, 2094.07, 7467.06, 20505.41]"
LT.NS,LARSEN & TOUBRO LTD.,Industrials,3862.0,1418.09,-99.9,55,0,50,50,100,50,80,0.98,49.4,0,Bearish Short-Term,"India's L&T to invest nearly $2 billion in Tamil Nadu, state government says",https://finance.yahoo.com/news/indias-l-t-invest-nearly-103527851.html,42.0,"[22776.96, 18266.28, 9151.35, 16740.97]","[18633.17, 13749.75, 4732.52, 11931.78]"
ADANIENT.NS,ADANI ENTERPRISES LIMITED,Energy,2908.8,0.0,-99.9,0,0,50,50,80,100,50,1.2,15.3,40,Golden Cross (Bullish),Adani Group stocks rise after US drops fraud charges against Gautam Adani,https://finance.yahoo.com/news/adani-group-stocks-rise-us-034725613.html,36.8,"[17626.46, 10312.19, 4513.1, 2356.91]","[2901.74, -12053.72, -25366.04, -31012.21]"
SBIN.NS,STATE BANK OF INDIA,Financial Services,1000.7,500.99,-99.7,30,0,50,50,90,50,50,0.0,29.9,0,Bearish Short-Term,"Japan’s Biggest Crypto Banking Experiment Is Here, and the US Can’t Do This Yet",https://finance.yahoo.com/markets/crypto/articles/japan-biggest-crypto-banking-experiment-113000879.html,36.4,"[-86013.68, 21632.43, 45484.01, 38097.39]","[-90057.31, 17457.3, 39846.78, 29734.43]"
CIPLA.NS,CIPLA LTD,Healthcare,1383.3,155.33,-99.9,10,0,50,50,100,0,80,0.02,44.2,0,Bullish Short-Term,India's Alembic Pharma quarterly profit rises on strong U.S. generics demand,https://finance.yahoo.com/news/indias-alembic-pharma-quarterly-profit-100836686.html,33.5,"[3237.65, 4133.91, 5004.98, 3940.02]","[2054.76, 2784.61, 3456.78, 860.71]"
INDUSINDBK.NS,INDUSIND BANK LIMITED,Financial Services,888.95,42.41,-99.9,0,0,50,50,90,0,100,0.0,51.4,20,Golden Cross (Bullish),India's IndusInd Bank slips on report of whistleblower complaint,https://finance.yahoo.com/news/indias-indusind-bank-slips-report-053748781.html,32.0,"[-12442.27, -16924.73, 18277.79, 992.89]","[-13013.37, -17654.74, 17546.8, 300.98]"
DRREDDY.NS,DR. REDDY S LABORATORIES,Healthcare,1276.0,343.08,-99.9,10,0,50,50,90,20,100,0.2,53.6,0,Bearish Short-Term,Dr. Reddy's Laboratories Q4 Earnings Call Highlights,https://finance.yahoo.com/sectors/healthcare/articles/dr-reddys-laboratories-q4-earnings-120930251.html,30.4,"[5887.5, 4543.3, 4642.8, 5675.5]","[4000.9, 1799.8, 1203.0, 1833.0]"
NTPC.NS,NTPC LTD,Utilities,351.85,110.41,-99.9,10,0,50,44,100,50,80,1.18,38.7,0,Bearish Short-Term,Energy & Utilities Roundup: Market Talk,https://www.wsj.com/business/energy-utilities-roundup-market-talk-cbb81a95?siteid=yhoof2&yptr=yahoo,29.3,"[47151.78, 40099.19, 50487.84, 50901.81]","[22333.26, 9283.27, 9152.59, 6852.03]"
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1317.3,0.0,-99.9,0,0,50,50,90,20,100,0.0,71.9,40,Golden Cross (Bullish),Banks reduce headcounts globally as AI boosts efficiency,https://finance.yahoo.com/sectors/technology/articles/banks-reduce-headcounts-globally-ai-133622838.html,28.8,"[22074.78, -5554.67, 44383.68, -8636.71]","[20685.36, -7940.08, 41938.14, -10846.71]"
HINDALCO.NS,HINDALCO  INDUSTRIES  LTD,Basic Materials,1024.3,0.0,-99.9,0,0,50,50,90,50,80,0.73,37.7,40,Bearish Short-Term,Hindalco Industries Ltd (FRA:HID) Q4 2026 Earnings Call Highlights: Strong EBITDA Growth Amid ...,https://finance.yahoo.com/markets/stocks/articles/hindalco-industries-ltd-fra-hid-010325951.html,26.2,"[19208.0, 24056.0, 24410.0, 10250.0]","[9471.0, 8328.0, 3761.0, -19846.0]"
POWERGRID.NS,POWER GRID CORP. LTD.,Utilities,286.65,43.11,-99.9,30,0,50,44,100,0,80,1.51,36.6,20,Bearish Short-Term,GE Vernova to Modernize a Key High-Voltage Power Transmission Link in India,https://finance.yahoo.com/news/ge-vernova-modernize-key-high-181029539.html,24.5,"[40202.87, 37289.5, 36221.82, 40930.58]","[31960.24, 25879.82, 12087.78, 3651.47]"
GRASIM.NS,GRASIM INDUSTRIES LTD,Basic Materials,3089.5,0.0,-99.9,0,0,50,50,90,20,50,1.34,24.7,50,Golden Cross (Bullish),Grasim Industries Ltd (BOM:500300) Q4 2026 Earnings Call Highlights: Record Revenue and ...,https://finance.yahoo.com/markets/stocks/articles/grasim-industries-ltd-bom-500300-190148774.html,13.8,"[-12685.14, -10719.33, -17169.7, -17809.6]","[-24721.3, -30204.36, -34351.0, -33435.9]"
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1263.0,714.43,-76.8,50,0,85,44,90,20,50,0.37,28.7,10,Death Cross (Falling Knife),Meta And Reliance Partner On India AI Hub To Support Meta’s Growth,https://finance.yahoo.com/sectors/technology/articles/meta-reliance-partner-india-ai-191418027.html,0.0,"[115032.0, 158788.0, 178703.0, 192113.0]","[-25956.0, 5905.0, 38736.0, 69197.0]"
BAJAJFINSV.NS,BAJAJ FINSERV LTD.,Financial Services,1645.1,0.0,-99.9,0,0,50,50,90,50,50,2.56,15.5,60,Death Cross (Falling Knife),Bajaj Finserv Ltd (BOM:532978) Q3 2026 Earnings Call Highlights: Robust Growth Amidst Strategic ...,https://finance.yahoo.com/news/bajaj-finserv-ltd-bom-532978-010030146.html,0.0,"[-39479.54, -65502.04, -61750.42, -55301.41]","[-40700.03, -66937.5, -63613.99, -56749.59]"
TCS.NS,TATA CONSULTANCY SERV LT,Technology,2135.6,2302.89,7.3,100,80,75,54,100,0,50,0.1,17.8,0,Death Cross (Falling Knife),Anthropic taps TCS to scale its enterprise AI deployments,https://finance.yahoo.com/sectors/technology/articles/anthropic-taps-tcs-scale-enterprise-114855999.html,0.0,"[41965.0, 44338.0, 48908.0, 52094.0]","[38865.0, 41664.0, 44971.0, 47948.0]"
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1782.6,2579.66,30.9,80,80,85,44,100,100,80,1.0,34.6,0,Death Cross (Falling Knife),VEON Closes USD 1.4B Bond Offering & Refinances 2027 Debt Ahead of Schedule,https://finance.yahoo.com/markets/stocks/articles/veon-closes-usd-1-4b-214320227.html,0.0,"[65324.6, 78898.2, 98332.2, 122229.6]","[38786.1, 38846.7, 37641.8, 75828.8]"
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,870.55,0.0,-99.9,0,0,50,50,90,80,50,3.13,26.8,80,Death Cross (Falling Knife),"Indian non-bank lenders plan $1.6 billion in debt sales as yields decline, bankers say",https://finance.yahoo.com/news/indian-non-bank-lenders-plan-081406944.html,0.0,"[-42111.79, -69843.31, -67791.64, -65789.8]","[-42990.11, -70881.09, -68873.46, -66750.9]"
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,10830.0,2839.16,-99.9,35,0,50,50,100,20,50,0.29,23.0,0,Death Cross (Falling Knife),India's Grasim Industries quarterly loss narrows as core businesses strengthen,https://finance.yahoo.com/news/indias-grasim-industries-quarterly-loss-095955583.html,0.0,"[9068.51, 10897.54, 10673.43, 15315.86]","[2868.4, 1891.95, 1544.1, 5638.09]"
SBILIFE.NS,SBI LIFE INSURANCE CO LTD,Financial Services,1719.1,0.0,-99.9,0,0,50,50,90,20,80,0.0,30.9,40,Death Cross (Falling Knife),India's SBI Life confident about handling potential tightening of key sales channel,https://finance.yahoo.com/news/indias-sbi-life-posts-marginal-101827004.html,0.0,"[0.0, 0.0, 0.0, 0.0]","[-63.2, -114.39, -106.19, -185.0]"
BPCL.NS,BHARAT PETROLEUM CORP  LT,Energy,286.35,867.25,67.0,100,100,50,50,100,0,50,0.54,28.3,0,Death Cross (Falling Knife),"India's BPCL to shut crude units at Mumbai refinery in September, source says",https://sg.finance.yahoo.com/news/indias-bpcl-shut-crude-units-102946092.html,0.0,"[12465.6, 35969.63, 23677.79, 50768.99]","[3916.98, 26390.5, 8534.67, 31344.17]"
HDFCLIFE.NS,HDFC LIFE INS CO LTD,Financial Services,545.25,0.0,-99.9,0,0,50,50,100,20,50,0.17,28.6,40,Death Cross (Falling Knife),HDFC Life Insurance Co Ltd (NSE:HDFCLIFE) Q4 2026 Earnings Call Highlights: Navigating Growth ...,https://finance.yahoo.com/markets/stocks/articles/hdfc-life-insurance-co-ltd-070120794.html,0.0,"[0.0, 0.0, 0.0, 0.0]","[-87.57, -135.95, -300.72, -287.09]"
BRITANNIA.NS,BRITANNIA INDUSTRIES LTD,Consumer Defensive,5113.0,2069.35,-99.9,100,0,90,58,90,20,50,0.27,26.9,0,Death Cross (Falling Knife),"India Inc hikes prices, shrinks packs as Iran war squeezes margins",https://finance.yahoo.com/news/india-inc-hikes-prices-shrinks-013623091.html,0.0,"[2526.21, 2572.98, 2490.62, 2611.6]","[1814.75, 2020.11, 2115.77, 2406.03]"
HEROMOTOCO.NS,HERO MOTOCORP LIMITED,Consumer Cyclical,4836.2,11114.19,56.5,100,100,50,50,90,100,80,0.04,38.6,0,Death Cross (Falling Knife),India's Eicher Motors beats quarterly profit estimates on strong sales,https://finance.yahoo.com/news/indias-eicher-motors-beats-quarterly-112926485.html,0.0,"[2613.84, 4923.07, 4297.39, 8314.62]","[2009.59, 4135.18, 3440.96, 7214.52]"
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,13098.0,5571.8,-99.9,35,0,50,50,100,20,50,0.0,28.9,0,Death Cross (Falling Knife),Indian automakers' sales rise in May despite rising fuel prices,https://finance.yahoo.com/news/indian-automakers-sales-rise-may-113409868.html,0.0,"[10814.6, 16801.1, 16180.0, 19099.9]","[2749.8, 7601.2, 5559.0, 8702.3]"
M&M.NS,MAHINDRA & MAHINDRA LTD,Consumer Cyclical,3000.9,526.75,-99.9,30,0,50,50,90,100,100,1.25,53.0,0,Death Cross (Falling Knife),Indian automakers' sales rise in May despite rising fuel prices,https://finance.yahoo.com/news/indian-automakers-sales-rise-may-113409868.html,0.0,"[-7074.02, -5629.95, 3175.81, 11657.36]","[-13378.59, -15575.94, -7216.14, 2051.91]"
HCLTECH.NS,HCL TECHNOLOGIES LTD,Technology,1110.2,1225.33,9.4,100,80,50,54,70,0,50,0.07,28.4,0,Death Cross (Falling Knife),Anthropic taps TCS to scale its enterprise AI deployments,https://finance.yahoo.com/sectors/technology/articles/anthropic-taps-tcs-scale-enterprise-114855999.html,0.0,"[18009.0, 22448.0, 22261.0, 19975.0]","[16348.0, 21400.0, 21153.0, 18553.0]"
INFY.NS,INFOSYS LIMITED,Technology,1114.6,15.21,-99.9,100,0,75,54,90,0,100,0.1,54.9,0,Death Cross (Falling Knife),Anthropic taps TCS to scale its enterprise AI deployments,https://finance.yahoo.com/sectors/technology/articles/anthropic-taps-tcs-scale-enterprise-114855999.html,0.0,"[285.3, 314.8, 435.1, 403.9]","[253.4, 288.2, 408.8, 373.3]"
ITC.NS,ITC LTD,Consumer Defensive,282.4,213.03,-32.6,75,40,90,44,70,0,100,0.03,52.8,0,Death Cross (Falling Knife),British American Tobacco plans to offload stake in India's ITC Hotels,https://finance.yahoo.com/news/british-american-tobacco-plans-offload-142827642.html,0.0,"[18877.55, 17178.86, 17627.04, 18464.31]","[16134.56, 13616.33, 15348.34, 16281.42]"
HDFCBANK.NS,HDFC BANK LTD,Financial Services,744.6,1519.54,51.0,60,100,50,50,100,100,100,0.0,60.0,0,Death Cross (Falling Knife),Some lenders hike rates on FX deposits for non-resident Indians,https://finance.yahoo.com/news/lenders-hike-rates-fx-deposits-085438797.html,0.0,"[58101.82, 47720.06, 102232.24, 119561.74]","[55469.38, 43358.03, 96848.44, 112922.01]"
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,2139.8,1139.16,-87.8,75,0,50,50,70,80,50,0.03,20.8,0,Death Cross (Falling Knife),"India Inc hikes prices, shrinks packs as Iran war squeezes margins",https://finance.yahoo.com/news/india-inc-hikes-prices-shrinks-013623091.html,0.0,"[9991.0, 15469.0, 11886.0, 10999.0]","[8799.0, 13992.0, 10611.0, 9638.0]"
WIPRO.NS,WIPRO LTD,Technology,177.37,251.0,29.3,80,80,50,44,70,20,20,0.23,14.8,0,Death Cross (Falling Knife),Asian Equities Traded in the US as American Depositary Receipts Open Week Higher in Monday Trading,https://finance.yahoo.com/markets/world-indices/articles/asian-equities-traded-us-american-144323422.html,0.0,"[13060.1, 17621.6, 16942.6, 14931.6]","[11576.7, 16570.6, 15438.9, 13371.3]"
